instance,num_customers,baseline_distance,baseline_runtime,challenger_distance,challenger_runtime,objective_improvement_percent,outcome,runtime_ratio,baseline_solver,challenger_solver
cvrp_n20_seed0,20,143.227149246448,0.0001165000139735,143.22714924644802,1.001562457997352,0.0,tie,8597.10161258157,Clarke-Wright,OR-Tools-1s
cvrp_n20_seed1,20,173.29867742434325,0.0001125420094467,173.2986774243432,1.000522958987858,0.0,tie,8890.217652117777,Clarke-Wright,OR-Tools-1s
cvrp_n20_seed2,20,144.29798905618304,0.0001153330085799,145.03679445042957,1.0005674160202034,-0.5119997853600505,loss,8675.464451506385,Clarke-Wright,OR-Tools-1s
cvrp_n20_seed3,20,192.3856462550804,0.0001166250149253,186.32815957565805,1.0005118330009282,3.1486167483570138,win,8578.878499109049,Clarke-Wright,OR-Tools-1s
cvrp_n20_seed4,20,142.86649721272238,0.0001156250073108,139.09604761082608,1.00045720799244,2.6391419090245187,win,8652.6023328432,Clarke-Wright,OR-Tools-1s
cvrp_n20_seed5,20,163.92932944868627,0.0001241249847225,154.5567355441471,1.000772125000367,5.717460039677046,win,8062.616299512487,Clarke-Wright,OR-Tools-1s
cvrp_n20_seed6,20,172.30823090891104,0.000114083988592,158.6705314930674,1.0005660830065608,7.914711528234007,win,8770.43391763675,Clarke-Wright,OR-Tools-1s
cvrp_n20_seed7,20,151.5501247022181,0.000115332979476,148.02101831340707,1.0005190829979256,2.3286727053147662,win,8675.047566998186,Clarke-Wright,OR-Tools-1s
cvrp_n20_seed8,20,148.07972290184094,0.0001235000090673,143.50175191735906,1.0006266249984035,3.0915583138391773,win,8102.239283667767,Clarke-Wright,OR-Tools-1s
cvrp_n20_seed9,20,130.1345955127031,0.0001150830066762,123.87599935338004,1.0005420410016086,4.809325402415477,win,8694.090204097249,Clarke-Wright,OR-Tools-1s
cvrp_n20_seed10,20,168.01866918268342,0.0001174589851871,166.29084656154666,1.0005005839921068,1.0283515692283807,win,8517.871854574709,Clarke-Wright,OR-Tools-1s
cvrp_n20_seed11,20,174.21872182424605,0.0001305839978158,168.2010983079917,1.0005982080183458,3.4540624872251007,win,7662.4871711293135,Clarke-Wright,OR-Tools-1s
cvrp_n20_seed12,20,166.68293725032365,0.0001129170123022,160.99175463615626,1.0005346249963625,3.4143762451344357,win,8860.796124490345,Clarke-Wright,OR-Tools-1s
cvrp_n20_seed14,20,178.76969112680678,0.0001365829957649,158.50224584019426,1.0005605000187645,11.337182023901466,win,7325.659350312004,Clarke-Wright,OR-Tools-1s
cvrp_n20_seed15,20,152.9402803363503,0.0001188330061268,143.27325566287732,1.000530917022843,6.320783937503583,win,8419.638193409268,Clarke-Wright,OR-Tools-1s
cvrp_n20_seed16,20,177.80830077816665,0.0001197080127894,174.9984620607034,1.00052983299247,1.58026296025899,win,8358.085726079864,Clarke-Wright,OR-Tools-1s
cvrp_n20_seed17,20,159.39919123414805,0.0001338330039288,155.28799275457547,1.0006031660013832,2.579184027059127,win,7476.505321017156,Clarke-Wright,OR-Tools-1s
cvrp_n20_seed18,20,146.95533562019284,0.0001134579943027,146.95533562019284,1.0005356250039767,0.0,tie,8818.555546950707,Clarke-Wright,OR-Tools-1s
cvrp_n20_seed19,20,164.82987420056287,0.0001179590180981,160.04218778382125,1.000596666010097,2.9046229877698178,win,8482.578798493862,Clarke-Wright,OR-Tools-1s
cvrp_n20_seed20,20,140.82812782155403,0.0001143330009654,137.95098420997442,1.0007407090160996,2.043017723863584,win,8752.859634279594,Clarke-Wright,OR-Tools-1s
cvrp_n20_seed21,20,159.77964734687387,0.0001335410051979,154.33589368255355,1.000522042013472,3.407038227154301,win,7492.245850109907,Clarke-Wright,OR-Tools-1s
cvrp_n20_seed22,20,185.2979038737208,0.0001134169870056,179.88973926635248,1.000524041999597,2.9186323721470404,win,8821.641875834666,Clarke-Wright,OR-Tools-1s
cvrp_n20_seed23,20,151.4595249936742,0.0001358330191578,140.24645075778068,1.0004922079970129,7.403347023808399,win,7365.603843603893,Clarke-Wright,OR-Tools-1s
cvrp_n20_seed24,20,139.0056728759637,0.0001144169946201,138.38517001297902,1.0005431250028778,0.4463867194386916,win,8744.707272944828,Clarke-Wright,OR-Tools-1s
cvrp_n20_seed25,20,186.23319467823416,0.0001168750168289,178.32725300118133,1.0004799159942197,4.245183943019597,win,8560.25473312983,Clarke-Wright,OR-Tools-1s
cvrp_n20_seed26,20,158.60279596047053,0.0001374160056002,158.60279596047053,1.0004671659844462,0.0,tie,7280.572314808938,Clarke-Wright,OR-Tools-1s
cvrp_n20_seed27,20,190.1752637465777,0.0001260420249309,177.57007734204,1.0006440000142902,6.628194517103458,win,7938.97115317588,Clarke-Wright,OR-Tools-1s
cvrp_n20_seed28,20,160.12128415814175,0.0001105000264942,151.92459393475795,1.00047920900397,5.119051015908941,win,9054.108317851706,Clarke-Wright,OR-Tools-1s
cvrp_n20_seed29,20,186.5074116352143,0.000131250009872,181.0348867757133,1.000438999995822,2.9342130757809297,win,7622.391807600535,Clarke-Wright,OR-Tools-1s
cvrp_n50_seed0,50,309.7824765958829,0.0007023750222288,318.78889791382204,0.9995366660004948,-2.907337244155422,loss,1423.081166566447,Clarke-Wright,OR-Tools-1s
cvrp_n50_seed1,50,363.4522687832546,0.0005745000089518,356.359007339763,1.0000287079892587,1.951634933312709,win,1740.6939815612084,Clarke-Wright,OR-Tools-1s
cvrp_n50_seed2,50,326.2442252983409,0.0006098340090829,324.41104124857685,1.000426333019277,0.5619054400388693,win,1640.4895727671374,Clarke-Wright,OR-Tools-1s
cvrp_n50_seed3,50,398.33908211077335,0.000583542016102,383.66634286011873,1.000491457991302,3.6834797060094395,win,1714.5148599144256,Clarke-Wright,OR-Tools-1s
cvrp_n50_seed4,50,316.65015869384564,0.0005610409716609,317.35335926491734,1.000736083020456,-0.22207491509631502,loss,1783.7130148585886,Clarke-Wright,OR-Tools-1s
cvrp_n50_seed5,50,333.89370974070295,0.0006008750060573,330.9698734319332,1.0007112089951988,0.8756787634724715,win,1665.4232559304855,Clarke-Wright,OR-Tools-1s
cvrp_n50_seed6,50,360.9358313602941,0.0005708330136258,363.2124676094037,1.0007246250170283,-0.6307592794346271,loss,1753.0952154652998,Clarke-Wright,OR-Tools-1s
cvrp_n50_seed7,50,359.29977111764214,0.000568415998714,365.31674122958174,1.0006099169841036,-1.674637891703393,loss,1760.3479128805504,Clarke-Wright,OR-Tools-1s
cvrp_n50_seed8,50,321.79782842489476,0.0006044170004315,328.8481307582486,1.000844624999445,-2.1909104756433524,loss,1655.8843055124705,Clarke-Wright,OR-Tools-1s
cvrp_n50_seed9,50,301.19023452686963,0.0005755420133937,298.4034860224417,1.0006265830015764,0.9252453051160625,win,1738.58130199975,Clarke-Wright,OR-Tools-1s
cvrp_n50_seed10,50,389.21937411878775,0.0005736660095863,383.6519994446103,1.0007061669894028,1.4303950533763352,win,1744.4055430633994,Clarke-Wright,OR-Tools-1s
cvrp_n50_seed11,50,334.2357845254562,0.0006202920048963,348.03666690221985,1.000712792010745,-4.12908581777321,loss,1613.2930686057182,Clarke-Wright,OR-Tools-1s
cvrp_n50_seed12,50,361.61700925428954,0.0007435409934259,356.7494443678253,1.0008433749899268,1.3460552910666288,win,1346.0500279594457,Clarke-Wright,OR-Tools-1s
cvrp_n50_seed13,50,362.8322468833045,0.0005933750071562,353.68331236713993,1.0008085000154097,2.5215329108019096,win,1686.63743491973,Clarke-Wright,OR-Tools-1s
cvrp_n50_seed14,50,351.80235324759803,0.0005770830030087,347.42784185474727,1.0009288330038544,1.2434571151864888,win,1734.4625084873007,Clarke-Wright,OR-Tools-1s
cvrp_n50_seed15,50,337.6672402836966,0.0005551670037675,332.8192019355512,1.0005972500075586,1.4357443570990887,win,1802.3355913036246,Clarke-Wright,OR-Tools-1s
cvrp_n50_seed16,50,360.84832687349865,0.0005711249832529,357.8225858372495,1.0006063749897294,0.8385077083397058,win,1751.9919533035918,Clarke-Wright,OR-Tools-1s
cvrp_n50_seed17,50,362.0197446234011,0.000606957997661,354.20851677520983,1.0007642919954378,2.1576800614334073,win,1648.8196808544035,Clarke-Wright,OR-Tools-1s
cvrp_n50_seed18,50,360.0278596067987,0.0005606669874396,366.4612050195119,1.0007112080056686,-1.7869021080033447,loss,1784.8584461439762,Clarke-Wright,OR-Tools-1s
cvrp_n50_seed19,50,336.5902427858663,0.0005921669944655,344.63543904003654,1.0007208329916466,-2.3902048340980873,loss,1689.9301081359902,Clarke-Wright,OR-Tools-1s
cvrp_n50_seed20,50,293.42166424458486,0.0005681250186171,299.7268247922636,1.0006808750040364,-2.148839474382842,loss,1761.3744197357141,Clarke-Wright,OR-Tools-1s
cvrp_n50_seed21,50,355.237439783013,0.0005640420131385,352.78519657652464,1.000666624982841,0.6903110235188663,win,1774.0994494626916,Clarke-Wright,OR-Tools-1s
cvrp_n50_seed22,50,314.6693851979917,0.0005905420111957,326.2575875674079,1.0006606669921894,-3.6826596149875956,loss,1694.4783741398883,Clarke-Wright,OR-Tools-1s
cvrp_n50_seed23,50,334.79607878062086,0.0005999580025672,336.37632767377323,1.00078512498294,-0.47200340544844,loss,1668.091967605423,Clarke-Wright,OR-Tools-1s
cvrp_n50_seed24,50,349.5410936667915,0.0005747499817516,332.50982531681996,1.000659250013996,4.872465257606304,win,1741.0339830971386,Clarke-Wright,OR-Tools-1s
cvrp_n50_seed25,50,338.7078022485223,0.0006081250030547,349.93836639048345,1.000640582991764,-3.3157087222103296,loss,1645.4521323172066,Clarke-Wright,OR-Tools-1s
cvrp_n50_seed26,50,300.8923118471854,0.0005980000132694,309.55593554006464,1.000727459002519,-2.8793104216232845,loss,1673.4572521684704,Clarke-Wright,OR-Tools-1s
cvrp_n50_seed27,50,348.958324866583,0.0005815000040456,329.26782796356525,1.000668124994263,5.642649995682432,win,1720.8394119216425,Clarke-Wright,OR-Tools-1s
cvrp_n50_seed28,50,324.61071092648046,0.0005748750118073,327.9616318966317,1.0006301660032475,-1.0322890950169976,loss,1740.604732248585,Clarke-Wright,OR-Tools-1s
cvrp_n50_seed29,50,350.59839990008913,0.0005805419932585,347.0103141018829,1.000800541980425,1.0234176194839286,win,1723.9072342778738,Clarke-Wright,OR-Tools-1s
cvrp_n20_seed0,20,143.227149246448,0.0001165000139735,143.22714924644802,3.00070666600368,0.0,tie,25757.135674560897,Clarke-Wright,OR-Tools-3s
cvrp_n20_seed1,20,173.29867742434325,0.0001125420094467,173.2986774243432,3.0006534999993164,0.0,tie,26662.51930947109,Clarke-Wright,OR-Tools-3s
cvrp_n20_seed2,20,144.29798905618304,0.0001153330085799,143.61899006720776,3.0005805419932585,0.4705533274693864,win,26016.667551982977,Clarke-Wright,OR-Tools-3s
cvrp_n20_seed3,20,192.3856462550804,0.0001166250149253,186.32815957565805,3.000598333979724,3.1486167483570138,win,25728.599785403247,Clarke-Wright,OR-Tools-3s
cvrp_n20_seed4,20,142.86649721272238,0.0001156250073108,139.09604761082608,3.000446916994406,2.6391419090245187,win,25949.809533237087,Clarke-Wright,OR-Tools-3s
cvrp_n20_seed5,20,163.92932944868627,0.0001241249847225,154.5567355441471,3.0005366250115912,5.717460039677046,win,24173.510528277126,Clarke-Wright,OR-Tools-3s
cvrp_n20_seed6,20,172.30823090891104,0.000114083988592,158.6705314930674,3.00052491700626,7.914711528234007,win,26301.016944078583,Clarke-Wright,OR-Tools-3s
cvrp_n20_seed7,20,151.5501247022181,0.000115332979476,148.02101831340707,3.000429834006354,2.3286727053147662,win,26015.36739654526,Clarke-Wright,OR-Tools-3s
cvrp_n20_seed8,20,148.07972290184094,0.0001235000090673,143.50175191735906,3.000454583001556,3.0915583138391773,win,24295.177025991074,Clarke-Wright,OR-Tools-3s
cvrp_n20_seed9,20,130.1345955127031,0.0001150830066762,123.87599935338004,3.000762333977036,4.809325402415477,win,26074.764821013454,Clarke-Wright,OR-Tools-3s
cvrp_n20_seed10,20,168.01866918268342,0.0001174589851871,165.74719093686477,3.0005006669962313,1.3519201508190273,win,25545.092716549054,Clarke-Wright,OR-Tools-3s
cvrp_n20_seed11,20,174.21872182424605,0.0001305839978158,168.2010983079917,3.0004247920005582,3.4540624872251007,win,22976.971468073116,Clarke-Wright,OR-Tools-3s
cvrp_n20_seed12,20,166.68293725032365,0.0001129170123022,160.99175463615626,3.000580958003411,3.4143762451344357,win,26573.329357784907,Clarke-Wright,OR-Tools-3s
cvrp_n20_seed14,20,178.76969112680678,0.0001365829957649,158.50224584019426,3.0004332500102464,11.337182023901466,win,21967.838918798392,Clarke-Wright,OR-Tools-3s
cvrp_n20_seed15,20,152.9402803363503,0.0001188330061268,143.27325566287732,3.0006538330053445,6.320783937503583,win,25251.013424700508,Clarke-Wright,OR-Tools-3s
cvrp_n20_seed16,20,177.80830077816665,0.0001197080127894,173.16245069955193,3.000499124987982,2.6128420654617712,win,25065.148565006275,Clarke-Wright,OR-Tools-3s
cvrp_n20_seed17,20,159.39919123414805,0.0001338330039288,155.28799275457547,3.0009728749864735,2.579184027059127,win,22423.264717147125,Clarke-Wright,OR-Tools-3s
cvrp_n20_seed18,20,146.95533562019284,0.0001134579943027,146.95533562019284,3.0006112919945735,0.0,tie,26446.891736769994,Clarke-Wright,OR-Tools-3s
cvrp_n20_seed19,20,164.82987420056287,0.0001179590180981,160.04218778382125,3.0008184999751393,2.9046229877698178,win,25439.500500754628,Clarke-Wright,OR-Tools-3s
cvrp_n20_seed20,20,140.82812782155403,0.0001143330009654,137.95098420997442,3.000767999998061,2.043017723863584,win,26245.860553473685,Clarke-Wright,OR-Tools-3s
cvrp_n20_seed21,20,159.77964734687387,0.0001335410051979,154.33589368255355,3.000490667007398,3.407038227154301,win,22468.684151065398,Clarke-Wright,OR-Tools-3s
cvrp_n20_seed22,20,185.2979038737208,0.0001134169870056,178.94844408333273,3.0006112919945735,3.4266225670394954,win,26456.45393354011,Clarke-Wright,OR-Tools-3s
cvrp_n20_seed23,20,151.4595249936742,0.0001358330191578,140.24645075778068,3.0004829580138903,7.403347023808399,win,22089.496181544546,Clarke-Wright,OR-Tools-3s
cvrp_n20_seed24,20,139.0056728759637,0.0001144169946201,138.38517001297902,3.0004185840080027,0.4463867194386916,win,26223.53955345817,Clarke-Wright,OR-Tools-3s
cvrp_n20_seed25,20,186.23319467823416,0.0001168750168289,178.32725300118133,3.000532458012458,4.245183943019597,win,25673.001291671328,Clarke-Wright,OR-Tools-3s
cvrp_n20_seed26,20,158.60279596047053,0.0001374160056002,158.60279596047053,3.00047575001372,0.0,tie,21834.980116823834,Clarke-Wright,OR-Tools-3s
cvrp_n20_seed27,20,190.1752637465777,0.0001260420249309,177.57007734204,3.0004353339900263,6.628194517103458,win,23805.039117984295,Clarke-Wright,OR-Tools-3s
cvrp_n20_seed28,20,160.12128415814175,0.0001105000264942,151.92459393475795,3.000468708021799,5.119051015908941,win,27153.556458009443,Clarke-Wright,OR-Tools-3s
cvrp_n20_seed29,20,186.5074116352143,0.000131250009872,181.0348867757133,3.000449707993539,2.9342130757809297,win,22860.567484297273,Clarke-Wright,OR-Tools-3s
cvrp_n50_seed0,50,309.7824765958829,0.0007023750222288,318.4439567956537,2.9973092500003986,-2.795987783088809,loss,4267.391571655319,Clarke-Wright,OR-Tools-3s
cvrp_n50_seed1,50,363.4522687832546,0.0005745000089518,356.359007339763,2.9987623750057537,1.951634933312709,win,5219.777768980586,Clarke-Wright,OR-Tools-3s
cvrp_n50_seed2,50,326.2442252983409,0.0006098340090829,322.143398497768,2.9995671669894364,1.2569806551588247,win,4918.661672379245,Clarke-Wright,OR-Tools-3s
cvrp_n50_seed3,50,398.33908211077335,0.000583542016102,381.9456414929119,3.000035957986256,4.1154487104287325,win,5141.079605588959,Clarke-Wright,OR-Tools-3s
cvrp_n50_seed4,50,316.65015869384564,0.0005610409716609,317.09763256587485,3.0003079579910263,-0.14131490534380195,loss,5347.751963834201,Clarke-Wright,OR-Tools-3s
cvrp_n50_seed5,50,333.89370974070295,0.0006008750060573,329.26124350512436,3.0004169169988018,1.387407459450523,win,4993.412750991808,Clarke-Wright,OR-Tools-3s
cvrp_n50_seed6,50,360.9358313602941,0.0005708330136258,362.4717045677454,3.000693500012858,-0.4255252801205392,loss,5256.692287212232,Clarke-Wright,OR-Tools-3s
cvrp_n50_seed7,50,359.29977111764214,0.000568415998714,364.6115145370955,3.000537500018254,-1.478359811622087,loss,5278.770314007263,Clarke-Wright,OR-Tools-3s
cvrp_n50_seed8,50,321.79782842489476,0.0006044170004315,325.447476214791,3.0006449579959735,-1.1341430760301174,loss,4964.527728131042,Clarke-Wright,OR-Tools-3s
cvrp_n50_seed9,50,301.19023452686963,0.0005755420133937,298.06894159537137,3.001189875009004,1.0363194332649603,win,5214.545255023872,Clarke-Wright,OR-Tools-3s
cvrp_n50_seed10,50,389.21937411878775,0.0005736660095863,377.8325776582882,3.00093804197968,2.9255471894943175,win,5231.158883099612,Clarke-Wright,OR-Tools-3s
cvrp_n50_seed11,50,334.2357845254562,0.0006202920048963,346.16245879236544,3.0007304169994313,-3.5683415179025713,loss,4837.609373187216,Clarke-Wright,OR-Tools-3s
cvrp_n50_seed12,50,361.61700925428954,0.0007435409934259,356.7494443678253,3.0010880419868045,1.3460552910666288,win,4036.2106037478184,Clarke-Wright,OR-Tools-3s
cvrp_n50_seed13,50,362.8322468833045,0.0005933750071562,344.24407848185325,3.0006868749915157,5.123075074258667,win,5056.982243611104,Clarke-Wright,OR-Tools-3s
cvrp_n50_seed14,50,351.80235324759803,0.0005770830030087,347.42784185474727,3.0008484999998473,1.2434571151864888,win,5200.029258104154,Clarke-Wright,OR-Tools-3s
cvrp_n50_seed15,50,337.6672402836966,0.0005551670037675,332.8192019355512,3.00069670798257,1.4357443570990887,win,5405.034318716896,Clarke-Wright,OR-Tools-3s
cvrp_n50_seed16,50,360.84832687349865,0.0005711249832529,347.2214158955388,3.0005906250153203,3.776354208436433,win,5253.824842200307,Clarke-Wright,OR-Tools-3s
cvrp_n50_seed17,50,362.0197446234011,0.000606957997661,354.20851677520983,3.000606500019785,2.1576800614334073,win,4943.680636194026,Clarke-Wright,OR-Tools-3s
cvrp_n50_seed18,50,360.0278596067987,0.0005606669874396,361.27287179432017,3.0007562910031993,-0.3458099572853048,loss,5352.1187411207575,Clarke-Wright,OR-Tools-3s
cvrp_n50_seed19,50,336.5902427858663,0.0005921669944655,336.89584761117703,3.000687541993102,-0.09079432094684135,loss,5067.299545631674,Clarke-Wright,OR-Tools-3s
