instance,num_customers,num_vehicles,solver,status,feasible,distance,runtime_seconds,optimality_gap_percent
cvrp_n5_seed0,5,2,Brute Force,OPTIMAL,True,47.34609657797435,0.0005066250159870833,0.0
cvrp_n5_seed0,5,2,Clarke-Wright,FEASIBLE,True,47.34609657797435,2.7457979740574956e-05,0.0
cvrp_n5_seed0,5,2,OR-Tools,FEASIBLE,True,47.34609657797435,1.0033142500033136,0.0
cvrp_n5_seed1,5,2,Brute Force,OPTIMAL,True,58.9518747440603,0.000398541014874354,0.0
cvrp_n5_seed1,5,2,Clarke-Wright,FEASIBLE,True,58.9518747440603,2.0792009308934212e-05,0.0
cvrp_n5_seed1,5,2,OR-Tools,FEASIBLE,True,58.9518747440603,1.0004712909867521,0.0
cvrp_n5_seed2,5,2,Brute Force,OPTIMAL,True,42.86324403220699,0.0004036249883938581,0.0
cvrp_n5_seed2,5,2,Clarke-Wright,FEASIBLE,True,42.86324403220699,1.8167018424719572e-05,0.0
cvrp_n5_seed2,5,2,OR-Tools,FEASIBLE,True,42.86324403220699,1.0004853749996983,0.0
cvrp_n5_seed3,5,2,Brute Force,OPTIMAL,True,64.030772917435,0.0004020000051241368,0.0
cvrp_n5_seed3,5,2,Clarke-Wright,FEASIBLE,True,64.03077291743502,1.866600359790027e-05,0.0
cvrp_n5_seed3,5,2,OR-Tools,FEASIBLE,True,64.030772917435,1.0004297500126995,0.0
cvrp_n5_seed4,5,2,Brute Force,OPTIMAL,True,45.415354694768695,0.0004042080254293978,0.0
cvrp_n5_seed4,5,2,Clarke-Wright,FEASIBLE,True,45.415354694768695,1.7375015886500478e-05,0.0
cvrp_n5_seed4,5,2,OR-Tools,FEASIBLE,True,45.4153546947687,1.0004481660143938,0.0
cvrp_n6_seed0,6,2,Brute Force,OPTIMAL,True,56.27970112985503,0.002535791980335489,0.0
cvrp_n6_seed0,6,2,Clarke-Wright,FEASIBLE,True,56.50747820195863,2.7250003768131137e-05,0.4047233150333291
cvrp_n6_seed0,6,2,OR-Tools,FEASIBLE,True,56.27970112985503,1.0006253749888856,0.0
cvrp_n6_seed1,6,2,Brute Force,OPTIMAL,True,72.36828260905904,0.0014476669894065708,0.0
cvrp_n6_seed1,6,2,Clarke-Wright,FEASIBLE,True,72.36828260905904,2.7250003768131137e-05,0.0
