instance,num_customers,seed,num_vehicles,bruteforce_status,bruteforce_feasible,bruteforce_distance,bruteforce_runtime,gurobi_status,gurobi_feasible,gurobi_distance,gurobi_runtime,gurobi_mip_gap,gurobi_node_count,gurobi_best_bound,objective_difference,objective_match
cvrp_n5_seed0,5,0,2,OPTIMAL,True,47.34609657797435,0.00038724998012185097,OPTIMAL,True,47.34609657797435,0.013570916024036705,0.0,1.0,47.34609657797435,0.0,True
cvrp_n5_seed1,5,1,2,OPTIMAL,True,58.9518747440603,0.0004527500132098794,OPTIMAL,True,58.9518747440603,0.007053749985061586,0.0,1.0,58.9518747440603,0.0,True
cvrp_n5_seed2,5,2,2,OPTIMAL,True,42.86324403220699,0.0005052500055171549,OPTIMAL,True,42.863244032207,0.008882666996214539,0.0,1.0,42.863244032207,7.105427357601002e-15,True
cvrp_n5_seed3,5,3,2,OPTIMAL,True,64.030772917435,0.00040070898830890656,OPTIMAL,True,64.03077291743502,0.008942665997892618,0.0,1.0,64.03077291743502,1.4210854715202004e-14,True
cvrp_n5_seed4,5,4,2,OPTIMAL,True,45.415354694768695,0.0005458749947138131,OPTIMAL,True,45.4153546947687,0.016038916015531868,0.0,1.0,45.4153546947687,7.105427357601002e-15,True
cvrp_n6_seed0,6,0,2,OPTIMAL,True,56.27970112985503,0.0041143749840557575,OPTIMAL,True,56.27970112985503,0.051358291995711625,0.0,85.0,56.27970112985503,0.0,True
cvrp_n6_seed1,6,1,2,OPTIMAL,True,72.36828260905904,0.0015899580321274698,OPTIMAL,True,72.36828260905904,0.010886625037528574,0.0,1.0,72.36828260905904,0.0,True
cvrp_n6_seed2,6,2,2,OPTIMAL,True,66.55991120783085,0.0009612499852664769,OPTIMAL,True,66.55991120783085,0.029880124959163368,0.0,132.0,66.55991120783085,0.0,True
cvrp_n6_seed3,6,3,2,OPTIMAL,True,93.49580431863585,0.0014005419798195362,OPTIMAL,True,93.49580431863583,0.01279562502168119,0.0,1.0,93.49580431863583,1.4210854715202004e-14,True
cvrp_n6_seed4,6,4,2,OPTIMAL,True,51.366538369846594,0.0027293749735690653,OPTIMAL,True,51.3665383698466,0.01442629098892212,0.0,1.0,51.3665383698466,7.105427357601002e-15,True
cvrp_n7_seed0,7,0,2,OPTIMAL,True,56.85466186816518,0.02074416697723791,OPTIMAL,True,56.85466186816518,0.06081125000491738,0.0,309.0,56.85466186816518,0.0,True
cvrp_n7_seed1,7,1,2,OPTIMAL,True,81.29530605783181,0.010846999997738749,OPTIMAL,True,81.29530605783181,0.014496457995846868,0.0,1.0,81.29530605783181,0.0,True
cvrp_n7_seed2,7,2,2,OPTIMAL,True,50.82639724144315,0.009838042024057359,OPTIMAL,True,50.82639724144316,0.032489542034454644,0.0,1.0,50.82639724144315,7.105427357601002e-15,True
cvrp_n7_seed3,7,3,2,OPTIMAL,True,97.49580431863585,0.007087000005412847,OPTIMAL,True,97.49580431863585,0.02947874995879829,0.0,1.0,97.49580431863585,0.0,True
cvrp_n7_seed4,7,4,2,OPTIMAL,True,51.536625695304856,0.02050562499789521,OPTIMAL,True,51.53662569530486,0.01831854198826477,0.0,1.0,51.53662569530486,7.105427357601002e-15,True
cvrp_n8_seed0,8,0,2,OPTIMAL,True,69.22799389860194,0.10788770799990743,OPTIMAL,True,69.22799389860194,0.08395299996482208,0.0,1.0,69.22799389860194,0.0,True
cvrp_n8_seed1,8,1,2,OPTIMAL,True,78.86657677757009,0.13965487497625872,OPTIMAL,True,78.86657677757007,0.011692083964589983,0.0,1.0,78.86657677757007,1.4210854715202004e-14,True
cvrp_n8_seed2,8,2,2,OPTIMAL,True,87.4858184639798,0.05608987499726936,OPTIMAL,True,87.4858184639798,0.07958000001963228,0.0,1798.0,87.4858184639798,0.0,True
cvrp_n8_seed3,8,3,2,OPTIMAL,True,98.26762309956266,0.030830333998892456,OPTIMAL,True,98.26762309956264,0.04496612504590303,0.0,1.0,98.26762309956264,1.4210854715202004e-14,True
cvrp_n8_seed4,8,4,2,OPTIMAL,True,79.90017684127417,0.11034491600003093,OPTIMAL,True,79.90017684127416,0.062038333038799465,0.0,443.0,79.90017684127416,1.4210854715202004e-14,True
cvrp_n9_seed0,9,0,2,OPTIMAL,True,95.64929620457653,0.6388242919929326,OPTIMAL,True,95.64929620457652,0.16910220799036324,0.0,2547.0,95.64929620457652,1.4210854715202004e-14,True
cvrp_n9_seed1,9,1,2,OPTIMAL,True,86.15900238451634,1.1695013330318034,OPTIMAL,True,86.15900238451634,0.04771958402125165,0.0,1.0,86.15900238451634,0.0,True
cvrp_n9_seed2,9,2,2,OPTIMAL,True,93.53009815347812,0.18865404202369973,OPTIMAL,True,93.53009815347812,0.1310026670107618,0.0,2434.0,93.53009815347812,0.0,True
cvrp_n9_seed3,9,3,2,OPTIMAL,True,98.27218726530658,0.5141021250165068,OPTIMAL,True,98.27218726530658,0.03867629199521616,0.0,1.0,98.27218726530658,0.0,True
cvrp_n9_seed4,9,4,2,OPTIMAL,True,78.38884746850219,0.8353727909852751,OPTIMAL,True,78.38884746850219,0.07727770798373967,0.0,1004.0,78.38884746850219,0.0,True
