model,traffic_level,samples,mae,mean_error
GradientBoosting,1,673,2.09816168675989,-0.018109929239636963
GradientBoosting,2,615,2.1273534919528423,0.09467882038627963
GradientBoosting,3,505,2.2596536393041404,0.2601300717242198
GradientBoosting,4,147,2.2274799360137156,-0.213972826168696
GradientBoosting,5,60,3.556419890218074,-0.1656068230788223
RandomForest,1,673,2.171948756219236,-0.11448587695626924
RandomForest,2,615,2.284061072974931,-0.08180146179480863
RandomForest,3,505,2.4801923175422615,0.392042281537624
RandomForest,4,147,2.4878675915669546,-0.4083582203133081
RandomForest,5,60,4.703322825117657,-3.5735160197000604
