stress_level,scenario,networks,mean_improvement,mean_p90_improvement,mean_win_probability,mean_loss_probability,mean_ml_std
mild,weekday_midday,30,0.988106584822211,0.8452543933945765,0.4583333333333333,0.24166666666666667,6.435933189990787
mild,weekday_rush,30,1.9312690742736287,2.1251393561733165,0.5413333333333333,0.12533333333333335,8.148808256162987
mild,weekend_evening,30,1.808520435360647,1.9588619271314953,0.5003333333333333,0.09966666666666667,7.104783994725476
mild,weekend_midday,30,0.4225832784679032,0.4718215673932028,0.257,0.17633333333333334,5.734311840396706
moderate,weekday_midday,30,0.9802834104370993,0.9523171350513362,0.427,0.27299999999999996,12.175245475465342
moderate,weekday_rush,30,1.94229755305318,2.5218365833292578,0.48500000000000004,0.18166666666666667,16.560209279083242
moderate,weekend_evening,30,1.8103771752810436,2.1888248042048604,0.455,0.14500000000000002,13.860269357493259
moderate,weekend_midday,30,0.4008276778346514,0.6778076757171149,0.23633333333333334,0.197,10.45680723535081
severe,weekday_midday,30,0.9785340617546079,1.0310126265747028,0.4023333333333333,0.29766666666666663,18.620881913723363
severe,weekday_rush,30,1.9574088223248192,2.8919082867008497,0.447,0.21966666666666665,26.369967880207707
severe,weekend_evening,30,1.8130540257161518,2.4635966888147847,0.4153333333333334,0.18466666666666667,21.529199525076574
severe,weekend_midday,30,0.3720585863562482,0.7143595433413291,0.23166666666666666,0.20166666666666666,15.644569725591944
