stress_level,metric,observations,networks,mean,ci_lower,ci_upper
mild,Mean ML improvement vs Free Flow (%),120,30,1.2876198432310977,0.9742768497394277,1.5982538795256787
mild,P90 ML improvement vs Free Flow (%),120,30,1.3502693110231476,1.0085722851453816,1.6858986933120421
mild,ML win probability,120,30,0.43925000000000003,0.35474375,0.5178354166666667
mild,ML loss probability,120,30,0.16075,0.1195,0.20433333333333337
mild,Conditional ML win probability,72,26,0.7320833333333332,0.6912820512820513,0.7741113269270086
mild,ML realized standard deviation (min),120,30,6.855959320318989,6.602963208806741,7.124828957681146
moderate,Mean ML improvement vs Free Flow (%),120,30,1.2834464541514936,0.9697980647436711,1.5929259415227566
moderate,P90 ML improvement vs Free Flow (%),120,30,1.5851965495756422,1.188178562651589,1.975374954759934
moderate,ML win probability,120,30,0.4008333333333333,0.3234166666666667,0.47250000000000003
moderate,ML loss probability,120,30,0.19916666666666666,0.15583333333333332,0.24241666666666667
moderate,Conditional ML win probability,72,26,0.6680555555555555,0.6404347826086957,0.6983099048838485
moderate,ML realized standard deviation (min),120,30,13.263132836848165,12.72078745211229,13.83939394692466
severe,Mean ML improvement vs Free Flow (%),120,30,1.2802638740379568,0.9647606779335376,1.5903417375108888
severe,P90 ML improvement vs Free Flow (%),120,30,1.7752192863579168,1.3270235710194012,2.2269868762545255
severe,ML win probability,120,30,0.3740833333333333,0.3016645833333334,0.44175
severe,ML loss probability,120,30,0.22591666666666665,0.18033333333333335,0.2703333333333333
severe,Conditional ML win probability,72,26,0.6234722222222222,0.604927536231884,0.6435390410958904
severe,ML realized standard deviation (min),120,30,20.5411547611499,19.67984060013752,21.450695252414434
