network_seed,scenario,decision_scenario_index,stress_level,expected_ml_improvement_vs_free_flow_percent,expected_ml_regret_vs_oracle_percent,mean_distance_realized_cost,mean_free_flow_realized_cost,mean_ml_realized_cost,mean_expected_oracle_route_realized_cost,mean_ml_improvement_vs_distance_percent,mean_ml_improvement_vs_free_flow_percent,mean_draw_level_ml_improvement_vs_free_flow_percent,distance_realized_std,free_flow_realized_std,ml_realized_std,distance_p90_realized_cost,free_flow_p90_realized_cost,ml_p90_realized_cost,expected_oracle_route_p90_realized_cost,ml_p90_improvement_vs_free_flow_percent,win_probability,tie_probability,loss_probability,conditional_win_probability,mean_common_shock,common_shock_std_observed
0,weekday_midday,0,mild,0.0,0.0,135.55320964074153,113.42447640413717,113.42447640413717,113.42447640413717,16.324757853578266,0.0,0.0,8.183964406498195,7.09263284457678,7.09263284457678,144.63914417474925,121.03962385917563,121.03962385917563,121.03962385917563,0.0,0.0,1.0,0.0,,0.00030012217319604697,0.04335167706461176
0,weekday_midday,0,moderate,0.0,0.0,135.4540530392264,113.32256171622032,113.32256171622032,113.32256171622029,16.338744265257965,0.0,0.0,16.21860727775216,13.706500703900415,13.706500703900415,153.60405208642578,126.25323559392653,126.25323559392653,126.25323559392655,0.0,0.0,1.0,0.0,,0.0006002443463920939,0.08670335412922352
0,weekday_midday,0,severe,0.0,0.0,135.5319622824018,113.46573029310633,113.46573029310633,113.46573029310633,16.28120158351803,0.0,0.0,25.141039927388274,21.08404807079239,21.08404807079239,163.66756345817328,133.68742004112963,133.68742004112963,133.68742004112963,0.0,0.0,1.0,0.0,,0.0009003665195881466,0.13005503119383527
0,weekday_rush,1,mild,3.643816582443064,0.0,168.10006780320992,137.8801876136521,132.55739251992858,132.55739251992858,21.14376023029935,3.860449558306588,3.8095612776744714,9.944073205122873,8.647734982830672,7.670912878382226,181.02245778294989,148.91286278173055,142.51452429879268,142.51452429879268,4.296699669467947,0.96,0.0,0.04,0.96,0.002582723433196879,0.04184042760505255
0,weekday_rush,1,moderate,3.643816582443064,0.0,168.79198270873022,138.24812049951512,132.68231611391192,132.68231611391192,21.392998657483414,4.025953022357886,3.8408673145873053,21.35258551706787,17.89221709753606,15.757624137273629,198.1071236211859,162.2965793126238,153.54062977545232,153.5406297754523,5.395030242938971,0.83,0.0,0.17,0.83,0.005165446866393758,0.0836808552101051
0,weekday_rush,1,severe,3.643816582443064,0.0,169.66561991751377,138.76352543993934,132.88257678608662,132.88257678608662,21.679726953115157,4.238108418770437,3.7512613660909024,34.83174089480338,28.8206460313335,25.160467642534503,218.28404935957397,177.4557922217654,166.34630431349396,166.34630431349396,6.260425635691832,0.76,0.0,0.24,0.76,0.007748170299590639,0.12552128281515765
0,weekend_midday,2,mild,0.0,0.0,115.42035592227894,100.10231818508677,100.10231818508677,100.10231818508677,13.271521834074864,0.0,0.0,5.9623140703488255,5.764981295813013,5.764981295813013,123.15607205076813,107.85581758004392,107.85581758004392,107.85581758004392,0.0,0.0,1.0,0.0,,0.006283912110018791,0.03935431308740689
0,weekend_midday,2,moderate,0.0,0.0,115.99633845108912,100.54346190270795,100.54346190270795,100.54346190270795,13.321865806046121,0.0,0.0,11.048611990375093,10.384747819068647,10.384747819068647,130.8795121048903,114.10813102132954,114.10813102132954,114.10813102132953,0.0,0.0,1.0,0.0,,0.012567824220037582,0.07870862617481378
0,weekend_midday,2,severe,0.0,0.0,116.712505860789,101.18122256993585,101.18122256993585,101.18122256993585,13.307299998663696,0.0,0.0,16.52067646685673,15.540795908989999,15.540795908989999,139.08790108795495,121.37637101619339,121.37637101619339,121.37637101619339,0.0,0.0,1.0,0.0,,0.018851736330056382,0.11806293926222067
0,weekend_evening,3,mild,3.261024962827661,0.0,130.48252853582758,122.63974302159968,118.79402705230581,118.79402705230581,8.957905410541132,3.135782801352216,3.080959696706445,7.31833323505888,7.525272603976793,7.036577656960396,138.91341775797858,132.69772434978105,127.0240075792542,127.0240075792542,4.275669984792933,0.86,0.0,0.14,0.86,-0.0006734803717870764,0.03942017574381755
