instance,num_customers,baseline_distance,baseline_runtime,challenger_distance,challenger_runtime,objective_improvement_percent,outcome,runtime_ratio,baseline_solver,challenger_solver
cvrp_n5_seed0,5,47.34609657797435,2.7457979740574956e-05,47.34609657797435,1.0033142500033136,0.0,tie,36539.98799193173,Clarke-Wright,OR-Tools
cvrp_n5_seed1,5,58.9518747440603,2.0792009308934212e-05,58.9518747440603,1.000471290986752,0.0,tie,48118.06671117904,Clarke-Wright,OR-Tools
cvrp_n5_seed2,5,42.86324403220699,1.8167018424719572e-05,42.86324403220699,1.0004853749996985,0.0,tie,55071.52310906197,Clarke-Wright,OR-Tools
cvrp_n5_seed3,5,64.03077291743502,1.866600359790027e-05,64.030772917435,1.0004297500126995,0.0,tie,53596.35471865211,Clarke-Wright,OR-Tools
cvrp_n5_seed4,5,45.415354694768695,1.7375015886500478e-05,45.4153546947687,1.0004481660143938,0.0,tie,57579.69791507887,Clarke-Wright,OR-Tools
cvrp_n6_seed0,6,56.50747820195863,2.7250003768131137e-05,56.27970112985503,1.0006253749888856,0.4030919081002347,win,36720.19216962885,Clarke-Wright,OR-Tools
cvrp_n6_seed1,6,72.36828260905904,2.7250003768131137e-05,72.36828260905904,1.0004292090015952,0.0,tie,36712.99341879712,Clarke-Wright,OR-Tools
cvrp_n6_seed2,6,66.55991120783085,1.94160093087703e-05,66.55991120783085,1.0004294579848647,0.0,tie,51526.00836120151,Clarke-Wright,OR-Tools
cvrp_n6_seed3,6,93.49580431863583,1.7707992810755968e-05,93.49580431863583,1.0004487910191528,0.0,tie,56497.018138129846,Clarke-Wright,OR-Tools
cvrp_n6_seed4,6,51.366538369846594,2.704199869185686e-05,51.3665383698466,1.000551250006538,0.0,tie,36999.90009643161,Clarke-Wright,OR-Tools
cvrp_n7_seed0,7,56.85466186816518,2.87919829133898e-05,56.85466186816518,1.0005380000220612,0.0,tie,34750.57633341252,Clarke-Wright,OR-Tools
cvrp_n7_seed1,7,81.29530605783181,2.6416004402562976e-05,81.29530605783181,1.0004365000058897,0.0,tie,37872.36270708767,Clarke-Wright,OR-Tools
cvrp_n7_seed2,7,50.82639724144315,2.579099964350462e-05,50.82639724144315,1.0004426250234246,0.0,tie,38790.3779943397,Clarke-Wright,OR-Tools
cvrp_n7_seed3,7,97.49580431863583,2.4375010980293155e-05,97.49580431863583,1.00044416700257,0.0,tie,41043.84477247681,Clarke-Wright,OR-Tools
cvrp_n7_seed4,7,51.536625695304856,2.5832996470853686e-05,51.536625695304856,1.0005373339809012,0.0,tie,38730.9824901562,Clarke-Wright,OR-Tools
cvrp_n8_seed0,8,69.22799389860194,3.612501313909888e-05,69.22799389860194,1.000502792012412,0.0,tie,27695.568944431645,Clarke-Wright,OR-Tools
cvrp_n8_seed1,8,78.86657677757009,3.183298395015299e-05,78.86657677757009,1.0004814170242753,0.0,tie,31429.080559677375,Clarke-Wright,OR-Tools
cvrp_n8_seed2,8,87.4858184639798,3.404100425541401e-05,87.4858184639798,1.0005754579906352,0.0,tie,29393.24147087993,Clarke-Wright,OR-Tools
cvrp_n8_seed3,8,98.26762309956266,3.766699228435755e-05,98.26762309956266,1.0005433750047814,0.0,tie,26562.86882295855,Clarke-Wright,OR-Tools
cvrp_n8_seed4,8,79.90017684127417,4.587500006891787e-05,79.90017684127417,1.000637082994217,0.0,tie,21812.252457568677,Clarke-Wright,OR-Tools
cvrp_n9_seed0,9,97.99399296167648,4.499999340623617e-05,95.64929620457652,1.000619165977696,2.3926943746612426,win,22235.98472436728,Clarke-Wright,OR-Tools
cvrp_n9_seed1,9,86.15900238451636,4.449998959898949e-05,86.15900238451636,1.0005942920106463,0.0,tie,22485.270244498395,Clarke-Wright,OR-Tools
cvrp_n9_seed2,9,93.53009815347812,5.287499516271055e-05,93.53009815347812,1.000552792014787,0.0,tie,18922.985977319102,Clarke-Wright,OR-Tools
cvrp_n9_seed3,9,98.27218726530658,3.9915990782901645e-05,98.27218726530658,1.0005210420058577,0.0,tie,25065.66973240307,Clarke-Wright,OR-Tools
