network_seed,scenario,mean_distance_realized_cost,mean_free_flow_realized_cost,mean_ml_realized_cost,mean_expected_oracle_route_realized_cost,mean_ml_improvement_vs_distance_percent,mean_ml_improvement_vs_free_flow_percent,mean_draw_level_ml_improvement_vs_free_flow_percent,distance_realized_std,free_flow_realized_std,ml_realized_std,distance_p90_realized_cost,free_flow_p90_realized_cost,ml_p90_realized_cost,expected_oracle_route_p90_realized_cost,ml_p90_improvement_vs_free_flow_percent,probability_ml_beats_free_flow,probability_ml_beats_distance,decision_scenario_index,realization_count,win_probability,tie_probability,loss_probability,mean_savings_minutes,median_savings_minutes,conditional_win_probability,expected_ml_improvement_vs_free_flow_percent,expected_outcome_vs_free_flow,expected_ml_regret_vs_oracle_percent
0,weekday_midday,136.04445814982375,114.78441513122398,114.78441513122398,114.78441513122398,15.62727604470768,0.0,0.0,9.161390508907568,7.665294094884681,7.665294094884681,148.65368865256778,125.55057256487876,125.55057256487876,125.55057256487876,0.0,0.0,0.98,0,100,0.0,1.0,0.0,0.0,0.0,,0.0,tie,0.0
0,weekday_rush,167.1064190465584,137.52999075859577,132.27023141229665,132.27023141229668,20.84670824317997,3.8244453571813968,3.7604564029575407,8.183057529504357,8.25309114202526,8.836141542647336,176.61753780189545,149.0445235112544,143.921227786058,143.921227786058,3.4374263505290914,0.83,1.0,1,100,0.83,0.0,0.17,5.259759346299092,5.130637391367188,0.83,3.643816582443064,win,0.0
0,weekend_midday,116.77566038115523,102.32048532328832,102.32048532328832,102.32048532328832,12.378585580835324,0.0,0.0,9.647696573677704,8.519687580196653,8.519687580196653,130.35740613064007,112.81380986383756,112.81380986383756,112.81380986383756,0.0,0.0,0.96,2,100,0.0,1.0,0.0,0.0,0.0,,0.0,tie,0.0
0,weekend_evening,130.85669863162877,123.50116624675802,119.16046266068896,119.16046266068896,8.938201936352959,3.5147065553990378,3.4607797445938853,8.226203182055848,6.764809632515918,7.973416471074451,140.33623806207856,131.4849959503792,128.29905067248868,128.2990506724887,2.423048542430556,0.72,1.0,3,100,0.72,0.0,0.28,4.340703586069089,4.03930806986088,0.72,3.261024962827661,win,0.0
1,weekday_midday,118.50809039041027,118.5145347700266,118.5816368033888,117.23265762491565,-0.062060246466053,-0.0566192437850757,-0.1611802461563937,8.450893846517896,8.542470739509199,9.08620437214339,129.42216176503092,128.9280634969946,131.32135757584012,127.25434593624576,-1.856301889542693,0.46,0.47,4,100,0.46,0.0,0.54,-0.06710203336221426,-0.4448674977552258,0.46,-0.2963352442731965,loss,1.3177701889131366
1,weekday_rush,161.53441170987307,138.0497051863497,136.57781272493855,136.57781272493852,15.449710511069483,1.0662047118639546,0.9697638341162071,7.715921430316369,7.991382967183058,7.304568015023442,168.96852147936974,148.63506425310842,145.9995208402854,145.99952084028538,1.77316397450805,0.59,1.0,5,100,0.59,0.0,0.41,1.4718924614111715,1.299530126495796,0.59,0.9408220636726048,win,0.0
1,weekend_midday,110.75230547844116,102.62854219209802,100.67316206288268,100.67316206288268,9.100617248568668,1.9052985528677795,1.7433383994084335,8.25463903939158,7.9580750334724,7.837608938034953,121.55875269806327,113.47072471331435,110.56073406655632,110.56073406655632,2.564529885668912,0.64,0.96,6,100,0.64,0.0,0.36,1.9553801292153492,1.9835146976711684,0.64,2.277793098486334,win,0.0
1,weekend_evening,122.19067068446348,121.19664136773372,116.74611907828628,116.44738506126532,4.455783388108909,3.672149854337713,3.5908557024556127,9.10678035993678,8.857115089789009,8.883530113752816,132.16335145042547,130.77536161687465,127.39926760504834,125.7667913425009,2.581597917287407,0.78,0.82,7,100,0.78,0.0,0.22,4.450522289447445,4.4464234310955035,0.78,3.106711987219543,win,0.2586533025923928
2,weekday_midday,166.04616285115426,120.70962300924332,118.76126327925984,118.76126327925984,28.476960117579576,1.6140881575235295,1.42444195363042,7.959495138722421,7.816970026618712,7.748440447928304,175.8791297108114,131.97779503628382,128.08948287839797,128.089482878398,2.946186634514435,0.57,1.0,8,100,0.57,0.0,0.43,1.948359729983502,1.358168944429167,0.57,1.0718602756340856,win,0.0
2,weekday_rush,210.7848052832513,150.7133549427233,148.6021390410668,148.6021390410668,29.50054495561187,1.4008154104583723,1.3123864497757936,7.685838737926274,7.736500606305159,9.143443851976205,221.4037370834957,160.90800231054408,159.9387995889504,159.9387995889504,0.6023334499692428,0.6,1.0,9,100,0.6,0.0,0.4,2.111215901656534,1.8141253192874132,0.6,1.1929626313383237,win,0.0
